Time,People_Count,Status
2026-02-02 10:30:12.330641,1,SAFE
2026-02-02 10:30:18.479996,1,SAFE
2026-02-02 10:30:24.865950,1,SAFE
2026-02-02 10:30:31.083086,1,SAFE
2026-02-02 10:30:37.247331,1,SAFE
2026-02-02 10:30:43.535892,1,SAFE
2026-02-02 10:30:50.071892,1,SAFE
2026-02-02 10:30:56.279132,1,SAFE
2026-02-02 10:31:05.326403,0,SAFE
2026-02-02 10:31:05.755235,1,SAFE
2026-02-02 10:31:12.375179,1,SAFE
2026-02-02 10:31:19.977021,1,SAFE
2026-02-02 10:31:21.141978,1,SAFE
2026-02-02 10:31:28.065861,1,SAFE
2026-02-02 10:31:36.019773,1,SAFE
2026-02-02 10:31:37.373541,1,SAFE
2026-02-02 10:31:44.062787,1,SAFE
2026-02-02 10:31:50.248200,1,SAFE
2026-02-02 10:31:56.917646,1,SAFE
2026-02-02 10:32:03.599353,1,SAFE
2026-02-02 10:32:10.085063,1,SAFE
2026-02-02 10:32:16.672021,1,SAFE
2026-02-02 10:32:25.942873,0,SAFE
2026-02-02 10:32:26.433596,1,SAFE
2026-02-02 10:32:35.297965,0,SAFE
2026-02-02 10:32:35.771862,1,SAFE
2026-02-02 10:32:42.143229,1,SAFE
2026-02-02 10:32:50.467569,1,SAFE
2026-02-02 10:32:51.993950,1,SAFE
2026-02-02 10:32:55.699555,3,SAFE
2026-02-02 10:33:01.899702,4,SAFE
2026-02-02 10:33:08.145737,4,SAFE
2026-02-02 10:33:14.783427,3,SAFE
2026-02-02 10:33:21.348464,3,SAFE
2026-02-02 10:33:27.784423,3,SAFE
2026-02-02 10:33:34.129444,3,SAFE
2026-02-02 10:33:40.317050,3,SAFE
2026-02-02 10:33:46.858653,2,SAFE
2026-02-02 10:33:53.044164,2,SAFE
2026-02-02 10:33:59.273971,3,SAFE
2026-02-02 10:34:08.797668,0,SAFE
2026-02-02 10:34:09.384732,2,SAFE
2026-02-02 10:34:15.909219,3,SAFE
2026-02-02 10:34:22.896682,3,SAFE
2026-02-02 10:34:24.322904,3,SAFE
2026-02-02 10:34:33.104460,0,SAFE
2026-02-02 10:34:33.679410,3,SAFE
2026-02-02 10:34:39.804033,2,SAFE
2026-02-02 10:34:47.999431,4,SAFE
2026-02-02 10:34:48.517568,2,SAFE
2026-02-02 10:34:55.491431,2,SAFE
2026-02-02 10:35:02.758667,2,SAFE
2026-02-02 10:35:54.953497,3,SAFE
2026-02-02 10:36:44.171718,1,SAFE
2026-02-02 10:36:50.481328,1,SAFE
2026-02-02 10:36:57.220417,1,SAFE
2026-02-02 10:37:03.485359,1,SAFE
2026-02-02 10:37:09.484312,1,SAFE
